edge_id,from_node_id,to_node_id,mp_cost,bidirectional
edge_north_field,node_res_north,node_field_oats,1,true
edge_north_fort_east,node_res_north,node_fort_east,2,true
edge_fort_east_mountain_north,node_fort_east,node_mountain_north_alpine,2,true
edge_mountain_north_lake,node_mountain_north_alpine,node_lake_mist,2,true
edge_fort_west_field_north,node_fort_west,node_field_oats,1,true
edge_fort_west_field_west,node_fort_west,node_field_west_large,1,true
edge_fort_west_fort_east,node_fort_west,node_fort_east,2,true
edge_field_west_forest_dark,node_field_west_large,node_forest_dark,2,true
edge_forest_dark_field_oats,node_forest_dark,node_field_oats,2,true
edge_swamp_forest_west,node_swamp_black,node_forest_dark,2,true
edge_swamp_fort_southwest,node_swamp_black,node_fort_southwest,2,true
edge_forest_fort_southwest,node_res_forest,node_fort_southwest,1,true
edge_fort_southwest_mountain_west,node_fort_southwest,node_mountain_west_alpine,2,true
edge_mountain_west_magic,node_mountain_west_alpine,node_spanish_magic,1,true
edge_forest_village,node_res_forest,node_village_barn,1,true
edge_village_magic,node_village_barn,node_spanish_magic,2,true
edge_village_mountain_gray,node_village_barn,node_mountain_gray,2,true
edge_magic_science,node_spanish_magic,node_science_barn,2,true
edge_science_forest_south,node_science_barn,node_forest_south_garden,2,true
edge_forest_south_lake_south,node_forest_south_garden,node_lake_south_pond,1,true
edge_field_east_science,node_field_east_large,node_science_barn,2,true
edge_hill_field_east,node_res_hill,node_field_east_large,1,true
edge_hill_mountain,node_res_hill,node_mountain_gray,2,true
edge_village_east_well,node_village_east_shed,node_well_city,1,true
edge_village_east_lake,node_village_east_shed,node_lake_mist,1,true
edge_lake_field_east,node_lake_mist,node_field_east_large,1,true
edge_river_well,node_res_river,node_well_city,1,true
edge_river_village_east,node_res_river,node_village_east_shed,1,true
edge_fort_east_well,node_fort_east,node_well_city,2,true
